day	speed
1	299811.9059
1	299836.059
1	299751.5403
1	299860.2159
1	299739.4701
1	300683.8746
1	299823.982
1	299956.8827
1	299667.0692
1	300174.6109
1	299799.8308
1	299884.3768
1	299860.2159
1	299896.4586
1	299848.137
1	299787.7567
1	299872.2959
1	299799.8308
1	299775.6836
1	299920.6253
2	299860.2159
2	299908.5415
2	299715.3326
2	299763.6115
2	299715.3326
2	299811.9059
2	299848.137
2	299896.4586
2	299811.9059
2	299799.8308
2	299703.2653
2	299848.137
2	299811.9059
2	299836.059
2	299787.7567
2	299763.6115
2	299715.3326
2	299836.059
2	299787.7567
2	299884.3768
3	299715.3326
3	299872.2959
3	299823.982
3	299823.982
3	299811.9059
3	299823.982
3	299775.6836
3	299823.982
3	299836.059
3	299751.5403
3	299836.059
3	299763.6115
3	299763.6115
3	299860.2159
3	299679.1336
3	299811.9059
3	299860.2159
3	299848.137
3	299763.6115
3	299848.137
3	299799.8308
3	299823.982
3	299811.9059
3	299799.8308
3	299956.8827
3	299872.2959
